id,frames_decoded,fps_encoded,status,export_verified,preserved_frame_max_mean_abs_error
ev9v_d47d8e7414433eb2,279,30.0,SUCCESS,True,
ev9v_7de26f89888ddbbc,174,30.0,SUCCESS,True,
ev9v_a9b7d8c2e96c23f1,41,30.0,LOW_CONFIDENCE,True,0.6763368055555555
ev9v_ab4ebfd3efdbf565,157,30.0,SUCCESS,True,
ev9v_cd3379c7d3cb01d0,228,30.0,SUCCESS,True,
ev9v_8e2bfdace84406da,399,30.0,SUCCESS,True,
ev9v_64426727a52ea9f4,121,30.0,SUCCESS,True,
ev9v_c4c5ec54d47a2742,123,30.0,SUCCESS,True,
ev9v_e09d4abae5858917,215,30.0,SUCCESS,True,
echonet_lvh_a67d379a7405b52b,169,19.97,PASSTHROUGH,True,0.2959777777777778
echonet_lvh_24657dca58306dc0,141,19.971,PASSTHROUGH,True,0.4314340277777778
echonet_lvh_5d68166d53e7e5f8,148,19.966,PASSTHROUGH,True,0.41720416666666665
echonet_lvh_8442fde4aa40235e,96,19.968,PASSTHROUGH,True,0.34036890665690106
echonet_lvh_02907cc4ceb21209,206,19.971,PASSTHROUGH,True,0.41539764404296875
echonet_lvh_c6af06e00b18e433,196,15.913,PASSTHROUGH,True,0.34675004747178817
echonet_dynamic_65eeaa7cb86174a6,209,50.0,PASSTHROUGH,True,1.866390306122449
echonet_dynamic_e9977aca1011e859,145,50.0,PASSTHROUGH,True,1.3626700680272108
echonet_dynamic_253bdfc84a7433e0,232,50.0,PASSTHROUGH,True,1.7836947278911566
echonet_pediatric_ec2795c85edb3b30,156,50.0,PASSTHROUGH,True,1.9719122023809523
echonet_pediatric_2da49c476c883db0,46,50.0,PASSTHROUGH,True,2.005766369047619
echonet_pediatric_d0b7a9333a42d623,107,50.0,PASSTHROUGH,True,1.722310799319728
echonet_pediatric_4f064a47d24ca2cc,56,50.0,PASSTHROUGH,True,1.6090826955782314
camus_b44ec4d9834df03f,14,55.4,PASSTHROUGH,True,0.8497198343368253
camus_fadaec5426192524,18,48.4,PASSTHROUGH,True,1.1130824448284098
camus_6bd0af2f39722390,23,56.6,PASSTHROUGH,True,0.8160086232375389
camus_981d2350e6c238f2,18,55.4,PASSTHROUGH,True,0.9252253506421189
camus_3210f261a108459d,18,56.6,PASSTHROUGH,True,0.9355422467417062
camus_3518ff05a734f881,26,55.4,PASSTHROUGH,True,0.9473915010614973
unity_24b50131b53951af,1,30.0,STATIC,True,2.067961111111111
unity_bdefb61b0cc5feb6,1,30.0,STATIC,True,1.1100391811794705
unity_fc86dbff7f0169f8,1,30.0,STATIC,True,1.2090201388888888
unity_7cda63d7242f48fa,1,30.0,MULTI_REGION,True,0.33145
unity_582ed785aebe2a63,1,30.0,STATIC,True,0.5880229166666666
unity_78163c3df2f4022b,1,30.0,STATIC,True,0.4909854166666667
samples_dicom_22340375674ff253,1,30.0,STATIC,True,1.7699131944444444
samples_dicom_2427fdc82d90cd4c,1,30.0,STATIC,True,1.6352604166666667
samples_dicom_b7556a5414d5ed6b,1,30.0,STATIC,True,1.7699131944444444
samples_dicom_af5a66e40cd49d15,1,30.0,STATIC,True,1.6352604166666667
samples_dicom_eb89e1fa39011987,11,15.942028985507246,MULTI_REGION,True,1.0090413436692507
camus_e59b7c6c17927765,14,55.4,PASSTHROUGH,True,0.8497198343368253
ev9v_5df100fbe249b675,3243,30.0,SUCCESS,True,
ev9v_fb3e1179f73d21f2,279,30.0,LOW_CONFIDENCE,True,0.8285460069444445
