id,status,baseline_equivalent,metadata_verified,preserved_pixels_verified,allowed_clip_verified,frames_decoded,fps_encoded,export_verified,sampled_export_max_mean_abs_error
ev9v_d47d8e7414433eb2,SUCCESS,True,True,False,True,279,30.0,True,0.6732484594665193
ev9v_7de26f89888ddbbc,SUCCESS,True,True,False,True,174,30.0,True,1.1278060420814147
ev9v_a9b7d8c2e96c23f1,LOW_CONFIDENCE,True,True,True,False,41,30.0,True,0.6763368055555555
ev9v_ab4ebfd3efdbf565,SUCCESS,True,True,False,True,157,30.0,True,0.6867225643945275
ev9v_cd3379c7d3cb01d0,SUCCESS,True,True,False,True,228,30.0,True,0.8013248388865089
ev9v_8e2bfdace84406da,SUCCESS,True,True,False,True,399,30.0,True,0.7097794401942769
ev9v_64426727a52ea9f4,SUCCESS,True,True,False,True,121,30.0,True,0.8004316730009987
ev9v_c4c5ec54d47a2742,SUCCESS,True,True,False,True,123,30.0,True,0.7460760164561856
ev9v_e09d4abae5858917,SUCCESS,True,True,False,True,215,30.0,True,0.7822813978961292
echonet_lvh_a67d379a7405b52b,PASSTHROUGH,True,True,True,False,169,19.97,True,0.2959777777777778
echonet_lvh_24657dca58306dc0,PASSTHROUGH,True,True,True,False,141,19.971,True,0.4314340277777778
echonet_lvh_5d68166d53e7e5f8,PASSTHROUGH,True,True,True,False,148,19.966,True,0.41720416666666665
echonet_lvh_8442fde4aa40235e,PASSTHROUGH,True,True,True,False,96,19.968,True,0.34036890665690106
echonet_lvh_02907cc4ceb21209,PASSTHROUGH,True,True,True,False,206,19.971,True,0.41539764404296875
echonet_lvh_c6af06e00b18e433,PASSTHROUGH,True,True,True,False,196,15.913,True,0.34675004747178817
echonet_dynamic_65eeaa7cb86174a6,PASSTHROUGH,True,True,True,False,209,50.0,True,1.814200680272109
echonet_dynamic_e9977aca1011e859,PASSTHROUGH,True,True,True,False,145,50.0,True,1.3677189625850341
echonet_dynamic_253bdfc84a7433e0,PASSTHROUGH,True,True,True,False,232,50.0,True,1.7747395833333333
echonet_pediatric_ec2795c85edb3b30,PASSTHROUGH,True,True,True,False,156,50.0,True,1.9658003826530612
echonet_pediatric_2da49c476c883db0,PASSTHROUGH,True,True,True,False,46,50.0,True,1.9722310799319729
echonet_pediatric_d0b7a9333a42d623,PASSTHROUGH,True,True,True,False,107,50.0,True,1.7298575680272108
echonet_pediatric_4f064a47d24ca2cc,PASSTHROUGH,True,True,True,False,56,50.0,True,1.6084715136054422
camus_b44ec4d9834df03f,PASSTHROUGH,True,True,True,False,14,55.4,True,0.8525075696933839
camus_fadaec5426192524,PASSTHROUGH,True,True,True,False,18,48.4,True,1.1130824448284098
camus_6bd0af2f39722390,PASSTHROUGH,True,True,True,False,23,56.6,True,0.8176645977850797
camus_981d2350e6c238f2,PASSTHROUGH,True,True,True,False,18,55.4,True,0.9252253506421189
camus_3210f261a108459d,PASSTHROUGH,True,True,True,False,18,56.6,True,0.9355422467417062
camus_3518ff05a734f881,PASSTHROUGH,True,True,True,False,26,55.4,True,0.9473915010614973
unity_24b50131b53951af,STATIC,True,True,True,False,1,30.0,True,2.067961111111111
unity_bdefb61b0cc5feb6,STATIC,True,True,True,False,1,30.0,True,1.1100391811794705
unity_fc86dbff7f0169f8,STATIC,True,True,True,False,1,30.0,True,1.2090201388888888
unity_7cda63d7242f48fa,MULTI_REGION,True,True,True,False,1,30.0,True,0.33145
unity_582ed785aebe2a63,STATIC,True,True,True,False,1,30.0,True,0.5880229166666666
unity_78163c3df2f4022b,STATIC,True,True,True,False,1,30.0,True,0.4909854166666667
samples_dicom_22340375674ff253,STATIC,True,True,True,False,1,30.0,True,1.7699131944444444
samples_dicom_2427fdc82d90cd4c,STATIC,True,True,True,False,1,30.0,True,1.6352604166666667
samples_dicom_b7556a5414d5ed6b,STATIC,True,True,True,False,1,30.0,True,1.7699131944444444
samples_dicom_af5a66e40cd49d15,STATIC,True,True,True,False,1,30.0,True,1.6352604166666667
samples_dicom_eb89e1fa39011987,MULTI_REGION,True,True,True,False,11,15.942028985507246,True,1.0090413436692507
camus_e59b7c6c17927765,PASSTHROUGH,True,True,True,False,14,55.4,True,0.8497198343368253
ev9v_5df100fbe249b675,SUCCESS,True,True,False,True,3243,30.0,True,0.780718336483932
ev9v_fb3e1179f73d21f2,LOW_CONFIDENCE,True,True,True,False,279,30.0,True,0.8285460069444445
